column,correlation,abs_correlation
avg_real_dm_inake_per_mw_per_day_squared,0.10674764473065294,0.10674764473065294
avg_real_dm_inake_per_weight_per_day_squared,0.10483662222479881,0.10483662222479881
avg_real_dm_inake_per_weight_per_day,0.10164534516137004,0.10164534516137004
avg_real_dm_inake_per_weight_per_day_log,0.0985140725769378,0.0985140725769378
avg_real_dm_inake_per_mw_per_day,0.09675684921917642,0.09675684921917642
mw_per_ddmi,-0.09081413892427938,0.09081413892427938
avg_real_dm_inake_per_mw_per_day_log,0.08578210550614516,0.08578210550614516
tdn_silage_dt_2_3,-0.06773464615671271,0.06773464615671271
weight_se,-0.059293391843641914,0.059293391843641914
originWeight_ddmi,-0.058225425543878766,0.058225425543878766
1_over_hormones,-0.056809375941431754,0.056809375941431754
theoritical_error_adg,0.056310090694129296,0.056310090694129296
1_over_hormones_dt,-0.05609711172889818,0.05609711172889818
