column,correlation,abs_correlation
grass_dm_log,-0.22859468454644147,0.22859468454644147
tdn_silage_log,0.1393779489640636,0.1393779489640636
silage_dm_log,0.1393779489640635,0.1393779489640635
weight_se,-0.10230076330045898,0.10230076330045898
1_over_tdn_rumput,0.0787572864431645,0.0787572864431645
FeedRatio_squared,-0.06796425583505981,0.06796425583505981
tdn_rumput_dt_2_3,0.06694847453318407,0.06694847453318407
tdn_silage_dt_2_3,-0.06672134800059247,0.06672134800059247
tdn_rumput_dt_log,-0.06562321135778365,0.06562321135778365
total_tdn_3,0.06513038002243537,0.06513038002243537
DaysSinceDewormed_dt,-0.0647972972567305,0.0647972972567305
1_total_tdn,0.057620284461144956,0.057620284461144956
DaysSinceDewormed,-0.057430697512382826,0.057430697512382826
1_total_dmi,0.05649453195524478,0.05649453195524478
avg_real_dm_inake_per_weight_per_day_log,-0.055319640693161434,0.055319640693161434
tdn_silage_dt_r_dmi_mw,-0.054409964915815845,0.054409964915815845
tdn_slobber_dt_2_3,0.05287627761033249,0.05287627761033249
avg_real_dm_inake_per_weight_per_day,-0.051746949042284385,0.051746949042284385
weight_ddmi,0.05174609581305325,0.05174609581305325
total_dmi_log_dw,-0.051110570154934414,0.051110570154934414
total_dmi_dw,-0.05016960983754399,0.05016960983754399
