column,correlation,abs_correlation
weight_se,-0.07867112494473136,0.07867112494473136
avg_real_dm_inake_per_mw_per_day_squared,0.06986494006363224,0.06986494006363224
theoritical_error_adg,0.06909736440049526,0.06909736440049526
metabolic_weight_Limousine_mw,0.06384686514373178,0.06384686514373178
tdn_silage_dt_2,0.06277870573616556,0.06277870573616556
avg_real_dm_inake_per_weight_per_day_squared,0.06175554822597535,0.06175554822597535
avg_real_dm_inake_per_mw_per_day,0.060233559838426806,0.060233559838426806
avg_real_dm_inake_per_weight_per_day,0.05855878061135957,0.05855878061135957
day_diff,-0.05743653306051266,0.05743653306051266
mw_per_ddmi,-0.05692871543217485,0.05692871543217485
avg_real_dm_inake_per_weight_per_day_log,0.055414481613055955,0.055414481613055955
metabolic_weight_Limousine,0.05467148936790756,0.05467148936790756
day_diff_2,-0.053700053850727784,0.053700053850727784
day_diff_recp,-0.053700053850727784,0.053700053850727784
1_over_hormones_dt,-0.05064829234906084,0.05064829234906084
1_over_hormones,-0.050533586732273934,0.050533586732273934
