animal_id,alpha_mean,alpha_sd
A-009,0.6044127277414154,1.18948619998816
A-010,0.5886505397411071,1.190292949358012
A-014,0.44679515651469504,1.1171497195341213
A-040,0.38768998091798507,1.1554226997339818
A-003,0.33242709779948626,1.0286522920490027
A-033,0.27832339237051995,1.1190501451467088
A-032,0.257105006841327,1.151794871435389
A-031,0.20282764838848333,1.109230844439017
A-001,0.1170303083183385,1.1141149397521053
A-039,0.09650422488504,1.0646676001453566
A-007,0.039861549514218254,1.0490472294462954
A-044,0.03031107115465585,1.107527023265741
A-052,0.020192150506753742,1.1042701483266382
A-030,0.013781551864751648,1.217719080917455
A-016,0.00632932474524,1.1615710315060075
A-020,-0.03457692965143975,1.1189830329948698
A-015,-0.040203507992535,1.1367728485226287
A-047,-0.043388264062447,1.1624800149035377
A-019,-0.045361333639001,1.1633522340283537
A-042,-0.0479418239770025,1.169540676382283
A-018,-0.06625383454014751,1.2374534376349204
A-017,-0.073622058145615,1.1858879303761913
A-022,-0.08070148526915501,1.2173459758169012
A-011,-0.14535950107150125,1.1624197092018431
A-006,-0.3291815886830287,1.147144636379754
A-005,-0.6032284955874797,1.2635922874200622
