animal_id,alpha_mean,alpha_sd
A-010,1.687591863590425,0.7827613857695568
A-009,1.3891645370791503,0.7525745174338558
A-040,1.3871496548810751,0.8132103421058878
A-032,1.15832606219642,0.778411275371068
A-001,1.1265785069903025,0.7870307245333321
A-033,0.8668117701078988,0.7541921787789553
A-014,0.8117606575293475,0.7252786494883562
A-052,0.5149151045813133,0.7213031692313029
A-003,0.48445584731232005,0.6021196750592293
A-007,0.36921947321999743,0.737114194664082
A-031,0.31928242444921523,0.9045527947383176
A-042,0.22186578613088823,0.7362341944439796
A-044,0.1535964005321375,0.6975452885159555
A-047,0.05987402849456251,0.7242608731215554
A-039,-0.0037518707249824972,0.6204678592175099
A-050,-0.009119974959319243,1.1132353155124168
A-049,-0.025371966760767497,1.1387784564572332
A-015,-0.3484417520911275,0.8103773264051777
A-011,-0.3553414137653629,0.4947851639222214
A-030,-0.408897472363495,0.709239017708487
A-020,-0.7348022742649999,0.8165668790586778
A-005,-0.9123554671403,0.45844926555006743
A-017,-0.9419272909252,0.7981081562102657
A-019,-0.9500549768542998,0.7939584591317852
A-006,-0.9633963381347825,0.442472698881482
A-018,-1.2533008665752825,0.8033485545345722
A-022,-1.3407896079998474,0.8673159365886994
A-016,-1.4299754928083026,1.2851144548979714
