animal_id,alpha_mean,alpha_sd
A-016,2.1167680112074247,1.088867981635422
A-031,1.9716910597828248,1.0345117653691915
A-030,1.3070839033557675,1.044110994798507
A-039,0.6931368630196351,1.0504177280344487
A-006,0.553650275060835,0.8340261839975364
A-022,0.42890031301813003,1.0091481090167818
A-040,0.08759085796491499,1.079846870253764
A-018,-0.09930899482794252,0.9912651580536145
A-020,-0.2643913731550425,1.00673383785299
A-017,-0.32081549783136243,1.0049185283057114
A-019,-0.379367827278025,1.0084148098973744
A-015,-0.38424746612032756,1.0220297138759369
A-005,-0.7912047552999599,0.8629783275412687
A-014,-0.9747470653052419,0.8960848352471295
A-033,-1.2240783306680523,1.1024265198524552
A-042,-1.23591832636817,1.8631604717403218
A-032,-1.2526350111095426,1.0994196362273225
A-011,-1.5140227226977498,0.8803523792624369
A-003,-1.746709078194695,1.01396230847203
A-044,-1.7603924473894936,1.8797632023427775
A-047,-1.9037886977515825,1.6852447803168797
A-007,-2.0983654820640503,1.0927633387455404
A-009,-2.748977825835,0.9833352036600799
A-010,-2.76386152791975,1.0635216747248375
A-052,-2.8439008700330253,1.72039648895403
A-001,-5.161689840549999,1.3143257237185173
