animal_id,u_mean,u_sd
A-016,-4.344263852325001,0.570779734205738
A-031,-4.516068806524999,0.27794026434065133
A-022,-4.64285739615,0.48683557062580296
A-018,-4.6929453626,0.4790952457932286
A-019,-4.741016827225001,0.4553239604944652
A-017,-4.741593185925,0.44692417623156266
A-020,-4.745361657400001,0.4173914247625727
A-030,-4.84209239935,0.34206099396800627
A-015,-4.855879308225,0.3604489347652243
A-040,-4.931017636699999,0.21452361551058247
A-047,-4.965364932475,0.39372975279135325
A-014,-4.985843193125,0.24118973524639362
A-044,-4.992154113275001,0.3806281265300456
A-050,-4.992757447725,0.48011773861498513
A-049,-5.0084577241499995,0.5079878608444229
A-042,-5.026185470675,0.40145644688108734
A-007,-5.075109821050001,0.34827290751172824
A-052,-5.111895476525,0.37755322263387464
A-032,-5.129974794775,0.2468569501795046
A-009,-5.191909421050001,0.24015562002888322
A-010,-5.201247041075,0.2322574636794007
A-039,-5.2369385315,0.3059339412259247
A-003,-5.345638087399999,0.32579879156509683
A-006,-5.384827852975,0.3804608946448586
A-011,-5.47776568105,0.3977563712775737
A-033,-5.50024339605,0.3036133244299131
A-001,-5.53148951725,0.36994449859353823
A-005,-5.781471899874999,0.4816879196428809
