animal_id,u_mean,u_sd
A-032,1.32691283534475,0.5599300124790866
A-033,1.3163751921909999,0.5441971054446424
A-052,1.1652098917885854,0.5643491404213642
A-039,1.14981427410415,0.47805205190584865
A-042,1.09044381259695,0.5088512582464383
A-009,1.0869088865446501,0.4858081184315799
A-001,1.0839803586514676,0.5067386664499949
A-040,1.074220990247225,0.41396867417056665
A-044,1.05302525374365,0.5118045952908167
A-047,1.0444689126279976,0.5080176840278036
A-003,1.0320729746132953,0.45874868345266323
A-010,1.0265608547010499,0.4790038307345445
A-011,1.020888596161275,0.48568559384955307
A-030,1.0114453254205251,0.47389376736014993
A-049,1.009684581098375,0.5603835552098513
A-050,1.0039996635438748,0.5747057533037842
A-007,0.99027417837412,0.5264728272849079
A-005,0.9552651801603499,0.4607879280943331
A-014,0.935869588031675,0.44480483145193256
A-019,0.9009789157030375,0.5414407311981236
A-017,0.8994175294418325,0.5459191745933437
A-031,0.8892091145710675,0.46499508671109846
A-020,0.88562453849455,0.5352150763535393
A-015,0.8764522801906001,0.5095787889741596
A-018,0.8662618027973376,0.5512091650149177
A-022,0.8039099405271375,0.5700874963203364
A-006,0.6703581233142829,0.5131753858297274
A-016,0.571755041152665,0.7806140279698001
